Transaction,Type,Currency,Amount,Details,Outstanding Loan,Date / Time
NXTTHjnVBqzuQ,Interest,USDTERC,0.09484184,approved / USDT Interest Earned,$0.00,2020-09-22 01:00:03
NXTlNOyEsNEfM,Interest,USDC,0.04323193,approved / USDC Interest Earned,$0.00,2020-09-22 01:00:03
NXTwOfBHGaqGR,Interest,USDTERC,0.09482185,approved / USDT Interest Earned,$0.00,2020-09-21 01:00:03
NXTT7lxliwKlj,Interest,USDC,0.04322282,approved / USDC Interest Earned,$0.00,2020-09-21 01:00:03
NXTzW3UiDUlTD,Interest,USDTERC,0.09480186,approved / USDT Interest Earned,$0.00,2020-09-20 01:00:02
NXT8Yt553ksqg,Interest,USDC,0.04321370,approved / USDC Interest Earned,$0.00,2020-09-20 01:00:02
NXTepnAdgVDwp,Interest,USDTERC,0.09478187,approved / USDT Interest Earned,$0.00,2020-09-19 01:00:02
NXT5yHvkDHa5E,Interest,USDC,0.04320459,approved / USDC Interest Earned,$0.00,2020-09-19 01:00:02
NXTGj3GnYLqwk,Interest,USDC,0.04319548,approved / USDC Interest Earned,$0.00,2020-09-18 01:00:02
NXT5XpE1hDaCy,Interest,USDTERC,0.09476189,approved / USDT Interest Earned,$0.00,2020-09-18 01:00:02
NXTYF8JDXSqhC,Interest,USDTERC,0.09474191,approved / USDT Interest Earned,$0.00,2020-09-17 01:00:02
NXTJbghSldawq,Interest,USDC,0.04318638,approved / USDC Interest Earned,$0.00,2020-09-17 01:00:02
NXT8AC7RXNsyN,Interest,USDTERC,0.09472193,approved / USDT Interest Earned,$0.00,2020-09-16 01:00:02
NXTVqTJZ9TG6C,Interest,USDC,0.04317727,approved / USDC Interest Earned,$0.00,2020-09-16 01:00:02
NXTzffLeR3e4F,Interest,USDTERC,0.09470196,approved / USDT Interest Earned,$0.00,2020-09-15 01:00:02
NXTl2DjtfEOJt,Interest,USDC,0.04316817,approved / USDC Interest Earned,$0.00,2020-09-15 01:00:02
NXTCSWRasnIC4,Interest,USDTERC,0.09468200,approved / USDT Interest Earned,$0.00,2020-09-14 01:00:03
NXTLVM1xj3PZX,Interest,USDC,0.04315907,approved / USDC Interest Earned,$0.00,2020-09-14 01:00:03
NXTdr5A4mp2XM,Interest,USDC,0.04314997,approved / USDC Interest Earned,$0.00,2020-09-13 01:00:02
NXTQXSetuocRH,Interest,USDTERC,0.09466204,approved / USDT Interest Earned,$0.00,2020-09-13 01:00:02
NXTVV0ZXVuCju,Interest,USDTERC,0.09464208,approved / USDT Interest Earned,$0.00,2020-09-12 01:00:02
NXTSY2lJNyjfZ,Interest,USDC,0.04314087,approved / USDC Interest Earned,$0.00,2020-09-12 01:00:02
NXTF6bu8yGHRT,Interest,USDC,0.04313178,approved / USDC Interest Earned,$0.00,2020-09-11 01:00:02
NXTsk9obFzjxv,Interest,USDTERC,0.09462212,approved / USDT Interest Earned,$0.00,2020-09-11 01:00:02
NXToQ7G6HD1gP,Interest,USDC,0.04312268,approved / USDC Interest Earned,$0.00,2020-09-10 01:00:03
NXTipVEiLdtJW,Interest,USDTERC,0.09460218,approved / USDT Interest Earned,$0.00,2020-09-10 01:00:03
NXT337xFN8Ku5,Interest,USDTERC,0.09458223,approved / USDT Interest Earned,$0.00,2020-09-09 01:00:03
NXT7pAcoBe9Yw,Interest,USDC,0.04311359,approved / USDC Interest Earned,$0.00,2020-09-09 01:00:03
NXTOTCKyQdWXa,Interest,USDTERC,0.09456229,approved / USDT Interest Earned,$0.00,2020-09-08 01:00:02
NXTRvPtxLKVYA,Interest,USDC,0.04310450,approved / USDC Interest Earned,$0.00,2020-09-08 01:00:02
NXTsfbR5HFUoz,Interest,USDC,0.04309541,approved / USDC Interest Earned,$0.00,2020-09-07 01:00:02
NXTYRXnwZr6hk,Interest,USDTERC,0.09454235,approved / USDT Interest Earned,$0.00,2020-09-07 01:00:02
NXTOQaWXlITxL,Interest,USDC,0.04308633,approved / USDC Interest Earned,$0.00,2020-09-06 01:00:02
NXTgWFhHRoiiH,Interest,USDTERC,0.09452242,approved / USDT Interest Earned,$0.00,2020-09-06 01:00:02
